t = 0 ,  0 ,  1 ,  2 ,  3 ,  4 ,  5 ,  6 ,  7 ,  8 ,  9 ,  10 ,  11 ,  12 ,  13 ,  14 ,  15 ,  16 ,  17 ,  18 ,  19 ,  20 ,  21 ,  22 ,  23 ,  24 ,  25 ,  26 ,  27 ,  28 ,  29 ,  30 ,  31 ,  32 ,  33 ,  34 ,  35 ,  36 ,  37 ,  38 ,  39 ,  40 , 
0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
1 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
2 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
3 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
4 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
5 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
6 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
7 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
8 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
9 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
10 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
11 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
12 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
13 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
14 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
15 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
16 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
17 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
18 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
19 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
20 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
21 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
22 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
23 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
24 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
25 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
26 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
27 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
28 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
29 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
30 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
31 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
32 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
33 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
34 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
35 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
36 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
37 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
38 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
39 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
40 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  500.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
41 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
42 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
43 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
44 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
45 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
46 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
